run,lag,Exact,QFT2,VB,EP,Laplace,OracleSampling
5,5,0.004980959364064452,0.005044593129747617,0.0,0.0002478775184657108,0.005254617778891145,0.06642757538937848
5,6,0.0020783339130213095,0.002104598240950953,0.0,6.57481640169758e-05,0.0022081679322549196,0.06336109625440126
5,7,0.0008990068097878781,0.0009102725536318878,0.0,1.7937762129291525e-05,0.0009621616720765481,0.06381796679776627
5,8,0.0003966377107113618,0.00040151926043075745,0.0,5.017571080142042e-06,0.0004277365180330145,0.06806533557081743
5,9,0.00018419472099819292,0.0001864079644768709,0.0,1.4908816000325186e-06,0.00020022193908555793,0.07171027411368092
5,10,9.817784809315402e-05,9.932521446057185e-05,0.0,5.473511485551543e-07,0.00010763423677539263,0.07310780776402276
6,0,1.0,1.0130430148605212,0.7898667932912055,0.5187700902820923,1.017958278057757,1.0028532933215355
6,1,0.2916825221328801,0.29552167703227294,0.0,0.09051751184248776,0.2990068383781389,0.29243394468009887
6,2,0.08751374150406416,0.08866004288404154,0.0,0.01686815887289186,0.09038771211426064,0.10745229392432334
6,3,0.030348999818301463,0.03074456902699669,0.0,0.0037240189376711694,0.03157234705099852,0.06681450570812343
6,4,0.012061900870774607,0.012218536355044364,0.0,0.0009380983893203085,0.012636045763298593,0.05995808161253894
6,5,0.004969767934371583,0.005034000399964395,0.0,0.00024585710980004226,0.005243713000869655,0.059415766254798656
6,6,0.0020771163178147835,0.002103898794246962,0.0,6.517654560631858e-05,0.0022074097222819864,0.060252578139622426
6,7,0.000900021664776972,0.0009116221626419181,0.0,1.775183920942441e-05,0.0009635839757798886,0.06458813438713454
6,8,0.00039740888469634887,0.0004024644552299043,0.0,4.955669107412056e-06,0.0004287497029010046,0.06542099466342109
6,9,0.00018481596675612729,0.00018712868527376856,0.0,1.4673003192981472e-06,0.0002010045249700242,0.06911499587648073
6,10,9.81139582492199e-05,9.928438652127108e-05,0.0,5.37481705510183e-07,0.0001076058363231284,0.08077292135465391
7,0,1.0,1.0130090285926379,0.7901787743724582,0.5188582700148473,1.018047443821917,1.0051524338416646
7,1,0.2911882283290194,0.2949849047892576,0.0,0.09060992851053977,0.2984832940896379,0.29805285263131415
7,2,0.08749798200497118,0.08864144014562139,0.0,0.016897788873237566,0.09037269981909482,0.11043345439331469
7,3,0.030356124910475745,0.030751757604231385,0.0,0.0037332814070609893,0.03158156822126345,0.06842710479538995
7,4,0.012063583770207902,0.012220123682652018,0.0,0.0009408043360582957,0.01263855057475348,0.06340199418255381
7,5,0.0049723203727683254,0.005036620215296182,0.0,0.0002465988798594695,0.005246932912044419,0.06313624085313385
7,6,0.0020776009687365404,0.002104360048387137,0.0,6.538012669714064e-05,0.0022081788654878887,0.06317834648017011
7,7,0.0008987248880256536,0.0009102095280225411,0.0,1.7835568913955064e-05,0.0009622221120128802,0.06763163118034146
7,8,0.0003963951123755451,0.00040137163867261585,0.0,4.988871990555105e-06,0.00042765093949591565,0.06922434645811794
