run,epsilon,mean_p0,mean_p1,mean_p2,cov_p0,cov_p1,cov_p2
5,0.001,0.0009592043995017251,4.796821334800151e-07,1.5990733981760216e-10,0.0019272324858215447,4.309122573686767e-08,6.118417205276906e-10
5,0.002,0.0019156150380369448,1.9162535763477052e-06,1.2777152637444347e-09,0.0038469911572257902,1.7373934514183405e-07,4.881624634632053e-09
5,0.004,0.003820101807052714,7.645297081834926e-06,1.019712642794047e-08,0.0076642458021806545,7.060629486508442e-07,3.8844551875304466e-08
5,0.007,0.006656169393251683,2.3323772212542063e-05,5.4453866575607304e-08,0.013335059316528041,2.214065636851404e-06,2.0652398151650885e-07
5,0.01,0.009467716368526854,4.741747934747721e-05,1.5818989189616506e-07,0.018940717779528063,4.625570076600578e-06,5.97334514557822e-07
5,0.02,0.018666313666066785,0.00018728534296812559,1.2506471222189118e-06,0.03716867600484363,1.9956082775174115e-05,4.654630716553421e-06
5,0.04,0.036299060459539144,0.0007308209548602835,9.776673427705338e-06,0.07162931194371006,9.151260447017097e-05,3.5367873013434326e-05
5,0.07,0.06098360562153301,0.0021593258023191084,5.067679751571964e-05,0.118810924767181,0.000331216885254723,0.00017591683231719173
5,0.1,0.08375921018109442,0.0042577482204177305,0.0001430996996578759,0.16124626763609962,0.0007693920501758022,0.00047738258123686034
5,0.16,0.12437176224294781,0.010214954268569906,0.0005519830523515294,0.23430178050612704,0.0023634025512175305,0.0017075715236175393
5,0.25,0.1752558272128712,0.022818819757336194,0.001940511113939742,0.3211090060301506,0.006783719526896146,0.005408242789176389
5,0.36,0.22506745561395,0.04293763630636938,0.005303280239288074,0.40099860399856785,0.015633260973177913,0.013168056900528195
6,0.001,0.0009655151638953137,4.828380415714352e-07,1.6095939180773478e-10,0.001926249654509271,4.1632775747724956e-08,6.105451234680298e-10
6,0.002,0.0019282057203745167,1.9288484555747324e-06,1.2861132553828239e-09,0.003845029975144652,1.680369025785556e-07,4.8712809678867745e-09
6,0.004,0.0038451605321438687,7.695447943644207e-06,1.0264016537057368e-08,0.007660341287176972,6.842712494550619e-07,3.876226659626345e-08
6,0.007,0.0066997034622008995,2.347631921782317e-05,5.4810017136042095e-08,0.0133282729503854,2.1517619609932477e-06,2.0608667527843391e-07
6,0.01,0.009529458064848914,4.772670234237914e-05,1.5922149357712003e-07,0.018931088904060887,4.5068982985546935e-06,5.960701982740401e-07
6,0.02,0.018786874727411498,0.000188494972256831,1.2587247398388023e-06,0.03714984997582118,1.957962914600576e-05,4.64479212810536e-06
6,0.04,0.036529159425482904,0.0007354536132231852,9.83864755094868e-06,0.07159331555063715,9.057735941756725e-05,3.5293317511417e-05
6,0.07,0.0613599682011108,0.0021726521614418084,5.098955124752605e-05,0.11875197665337639,0.0003299305571474698,0.00017554747426198336
6,0.1,0.08426321300613247,0.004283368294040108,0.00014396077096852535,0.1611673504901319,0.0007685917422276779,0.0004763840824001407
6,0.16,0.1250860029824887,0.010273616591589077,0.000555152974337145,0.23419036772914234,0.002365823616644929,0.001704024642336212
6,0.25,0.1762021903481183,0.022942038997184697,0.0019509896709781812,0.3209629524573005,0.006794682919410581,0.005397101133988284
6,0.36,0.22620749683434266,0.043155129658137927,0.0053301431105085674,0.40082560919754423,0.015657460868138868,0.0131410962865688
7,0.001,0.0009658271711755274,4.829940712060975e-07,1.6101141405324874e-10,0.0019247649284459447,4.1538611768572885e-08,6.091470026304956e-10
7,0.002,0.001928828209713356,1.929471152421947e-06,1.286528445478871e-09,0.003842069839150462,1.6771634094801696e-07,4.860131244785473e-09
7,0.004,0.0038463994468392907,7.697927424927598e-06,1.0267323611165961e-08,0.007654458017563192,6.834183973356658e-07,3.867362959353934e-08
7,0.007,0.006701855804651247,2.348386120514627e-05,5.4827625355344135e-08,0.013318073226703465,2.150982482210171e-06,2.0561609054757264e-07
7,0.01,0.009532510597738655,4.7741990444553015e-05,1.5927249636650356e-07,0.018916653099101177,4.508729193267771e-06,5.947110328388599e-07
7,0.02,0.018792835298169677,0.00018855477664878444,1.2591240993967911e-06,0.03712185315332459,1.962471495538447e-05,4.634249881107673e-06
7,0.04,0.03654053553124245,0.0007356826521120234,9.841711555071891e-06,0.07154058976133292,9.095424708626707e-05,3.52139207512761e-05
7,0.07,0.061378575488065336,0.002173311013840306,5.100501372638258e-05,0.11866738325818244,0.0003315269624279431,0.00017515744131622218
7,0.1,0.08428813068999626,0.004284634939509891,0.0001440033419654263,0.16105614058195877,0.0007722009982826612,0.00047533769650411333
7,0.16,0.1251213145066413,0.010276516812651069,0.0005553096928923414,0.23403812854506653,0.002375199175203635,0.0017003564400131083
7,0.25,0.17624897755332686,0.022948130827736526,0.0019515077198964028,0.32077042806289224,0.00681512758567628,0.00538576107399276
7,0.36,0.2262638591002918,0.0431658822677061,0.005331471178533485,0.40060489889254053,0.015692709288761333,0.013114069889631489
8,0.001,0.0009582286254137621,4.79194165109655e-07,1.5974468599382976e-10,0.0019249168984017035,4.399721487728392e-08,6.100174603971991e-10
8,0.002,0.0019136681443250845,1.914306033670952e-06,1.2764166911009602e-09,0.0038423757815785765,1.7737383468659402e-07,4.867079481925055e-09
8,0.004,0.0038162265274283617,7.637541355543521e-06,1.018678201963454e-08,0.007655077764621283,7.20674119730147e-07,3.872896880638932e-08
