run,lambda,lag,normalized_self_energy
4,0.4,17,8.885875347622036e-17
4,0.4,18,9.02167251545412e-17
4,0.4,19,8.969210198400899e-17
4,0.4,20,8.887410982937146e-17
4,0.4,21,8.475073889689177e-17
4,0.4,22,8.492333477292538e-17
4,0.4,23,8.223423257259597e-17
4,0.4,24,8.220479437866747e-17
4,0.4,25,8.708651268263714e-17
4,0.4,26,8.838495248365954e-17
4,0.4,27,7.92165930610434e-17
4,0.4,28,7.488621425657968e-17
4,0.4,29,6.663277448843934e-17
4,0.4,30,5.440038148234704e-17
5,0.4,0,0.006776905665393306
5,0.4,1,0.0010526658466460089
5,0.4,2,1.174729292140779e-06
5,0.4,3,3.520236758691692e-08
5,0.4,4,2.5533007678663614e-09
5,0.4,5,3.529957420096202e-10
5,0.4,6,4.758146638274246e-11
5,0.4,7,7.884700949235981e-12
5,0.4,8,1.2901850453551308e-12
5,0.4,9,2.3401559842565313e-13
5,0.4,10,3.8710218897374805e-14
5,0.4,11,6.6054480335254064e-15
5,0.4,12,1.1103501426274755e-15
5,0.4,13,2.0203031379653842e-16
5,0.4,14,9.745421638140802e-17
5,0.4,15,8.685873120435445e-17
5,0.4,16,8.811222960659315e-17
5,0.4,17,8.576054550896838e-17
5,0.4,18,8.670163842774595e-17
5,0.4,19,8.745329766444098e-17
5,0.4,20,8.559637360307297e-17
5,0.4,21,8.493549712037945e-17
5,0.4,22,8.965379654089915e-17
5,0.4,23,8.705402647342482e-17
5,0.4,24,8.369510598432457e-17
5,0.4,25,8.715437455255096e-17
5,0.4,26,8.478599318527403e-17
5,0.4,27,8.374194200499831e-17
5,0.4,28,7.900364883540157e-17
5,0.4,29,6.105809018249644e-17
5,0.4,30,3.994598281247505e-17
6,0.4,0,0.006779389065546649
6,0.4,1,0.001053500075905926
6,0.4,2,1.1808775821494693e-06
6,0.4,3,3.569683952676505e-08
6,0.4,4,2.5327369545035095e-09
6,0.4,5,3.00041181767881e-10
6,0.4,6,4.5281961828935126e-11
6,0.4,7,7.926207143760767e-12
6,0.4,8,1.2562918294445015e-12
6,0.4,9,2.096696966005255e-13
6,0.4,10,3.466119073744119e-14
6,0.4,11,5.791778797592359e-15
6,0.4,12,1.0335583309314683e-15
6,0.4,13,2.1869304967750957e-16
6,0.4,14,9.479581758677084e-17
6,0.4,15,8.836352312341889e-17
6,0.4,16,8.743927594129836e-17
6,0.4,17,9.149161803899853e-17
6,0.4,18,8.757858599770576e-17
6,0.4,19,9.121176428265599e-17
6,0.4,20,9.015430972485362e-17
6,0.4,21,9.101526533826855e-17
6,0.4,22,8.804582162662131e-17
6,0.4,23,8.928620805410626e-17
6,0.4,24,8.948317812863679e-17
6,0.4,25,8.671697521769998e-17
6,0.4,26,8.226355734039291e-17
6,0.4,27,7.932358331571368e-17
6,0.4,28,7.90809919292406e-17
6,0.4,29,6.911878921319443e-17
6,0.4,30,4.161467273604166e-17
7,0.4,0,0.006771646248530298
7,0.4,1,0.0010512800076900811
7,0.4,2,1.238775133145407e-06
7,0.4,3,4.283338195948959e-08
7,0.4,4,3.131379892495601e-09
7,0.4,5,3.694517202796598e-10
7,0.4,6,5.299462209045672e-11
7,0.4,7,9.041353771203954e-12
7,0.4,8,1.52630485481903e-12
7,0.4,9,2.756152199313788e-13
7,0.4,10,4.636764030871179e-14
7,0.4,11,8.071713280389612e-15
7,0.4,12,1.4034813119542564e-15
7,0.4,13,2.524368688376917e-16
7,0.4,14,9.918146571780466e-17
7,0.4,15,8.963038323644391e-17
7,0.4,16,8.825870539874778e-17
7,0.4,17,8.645254534308086e-17
7,0.4,18,9.090582130746772e-17
7,0.4,19,9.136188103606641e-17
7,0.4,20,8.865338581646364e-17
7,0.4,21,8.935655946146372e-17
7,0.4,22,9.061890240854397e-17
7,0.4,23,9.320032934395892e-17
7,0.4,24,8.720422918842925e-17
7,0.4,25,8.521296568267487e-17
7,0.4,26,8.742723450461138e-17
7,0.4,27,8.190208417239741e-17
7,0.4,28,7.617971571391423e-17
7,0.4,29,6.921852593867138e-17
7,0.4,30,5.0581067130142114e-17
8,0.4,0,0.006765656767940028
8,0.4,1,0.001049483698784088
8,0.4,2,1.517554015615314e-06
8,0.4,3,4.935769152080859e-08
8,0.4,4,4.212496569986299e-09
8,0.4,5,4.667426524937198e-10
8,0.4,6,6.925148750303665e-11
8,0.4,7,1.0391316642875072e-11
8,0.4,8,1.68627219385027e-12
8,0.4,9,2.804424265729494e-13
8,0.4,10,4.872131629331248e-14
8,0.4,11,8.850085722365804e-15
8,0.4,12,1.5851491390178063e-15
8,0.4,13,2.778856526063385e-16
8,0.4,14,1.0759407279769224e-16
8,0.4,15,8.794096188746086e-17
8,0.4,16,9.272634748176024e-17
8,0.4,17,8.97779970629715e-17
8,0.4,18,8.829694833261793e-17
8,0.4,19,8.625358529951099e-17
8,0.4,20,8.777549935551054e-17
8,0.4,21,8.75534051887344e-17
8,0.4,22,8.562929516389191e-17
8,0.4,23,8.333593834520146e-17
8,0.4,24,8.394371647381137e-17
8,0.4,25,8.098636368605634e-17
8,0.4,26,8.143807697147966e-17
8,0.4,27,8.409665001091205e-17
8,0.4,28,7.809403638094213e-17
8,0.4,29,6.857347605109033e-17
8,0.4,30,4.158622336019471e-17
9,0.4,0,0.006782918885130039
9,0.4,1,0.0010542545799049237
9,0.4,2,1.1872840207995996e-06
9,0.4,3,4.0707802011323136e-08
9,0.4,4,2.7540648742970654e-09
9,0.4,5,3.258961901159942e-10
9,0.4,6,3.826522763107537e-11
9,0.4,7,6.061045170432238e-12
9,0.4,8,1.0505552390334592e-12
9,0.4,9,2.008005778061846e-13
9,0.4,10,3.5402656326324254e-14
9,0.4,11,6.66356926749704e-15
9,0.4,12,1.1731432635218362e-15
9,0.4,13,2.3068148005451375e-16
9,0.4,14,9.597744973224428e-17
9,0.4,15,9.164311525321889e-17
9,0.4,16,9.332349079772804e-17
9,0.4,17,8.847376412184985e-17
9,0.4,18,8.95082385495715e-17
9,0.4,19,8.841160820073566e-17
9,0.4,20,8.43370582404864e-17
9,0.4,21,8.350274670560482e-17
9,0.4,22,8.478263977723353e-17
9,0.4,23,9.014662803760082e-17
9,0.4,24,9.026726099416357e-17
9,0.4,25,9.097010551302755e-17
9,0.4,26,8.594285419324014e-17
9,0.4,27,7.793784807379395e-17
9,0.4,28,8.257463003962931e-17
9,0.4,29,6.821315364701531e-17
9,0.4,30,4.9215725959286496e-17
0,0.6,0,0.012313242901976596
0,0.6,1,0.0019019234242000924
0,0.6,2,4.495617399023805e-06
0,0.6,3,1.6696985646668363e-07
0,0.6,4,1.2519805360952611e-08
0,0.6,5,1.440059794043309e-09
0,0.6,6,2.0746867625911404e-10
0,0.6,7,3.2426535120922155e-11
0,0.6,8,5.5123648455234025e-12
0,0.6,9,9.978910116991826e-13
0,0.6,10,1.7337378786665724e-13
0,0.6,11,3.2293476427547085e-14
0,0.6,12,5.750117010401372e-15
0,0.6,13,9.754960128461097e-16
0,0.6,14,3.303785928618623e-16
0,0.6,15,2.860245206660838e-16
