run,epsilon,mean_QFT2,cov_QFT2,mean_VB,cov_VB,mean_EP,cov_EP,mean_Laplace,cov_Laplace,mean_OracleSampling,cov_OracleSampling
4,0.02,1.2550908581457544e-06,4.592810322150494e-06,7.387993160664904e-05,0.460986136571201,0.053212901967786566,0.06290055023995739,0.0013654965335666487,0.001793423517476368,0.019930519235156957,0.18114961392193102
4,0.04,9.810753076967852e-06,3.490307427248195e-05,0.00014009439584985103,0.4609640520055687,0.09879120647925903,0.1176964569932278,0.0026574986700243254,0.0034883597289041973,0.02258266380743688,0.18521699904034086
4,0.07,5.0848681119905416e-05,0.00017363896262616692,0.00022827800654644784,0.46093585067009946,0.1561817153992239,0.1878207383643888,0.004469688115132623,0.005862499961886788,0.01853031044921707,0.1867592743576055
4,0.1,0.00014357267375262155,0.00047128496294487063,0.00031309610321136443,0.4609158428146136,0.20358374410177943,0.24659931356897855,0.0061453729311587825,0.008054467739899424,0.02226932895353565,0.18052785597422674
4,0.16,0.0005537225701746577,0.0016862804959795587,0.00044760499525482185,0.4608747179600061,0.2775729208082086,0.3396304695686334,0.009142168290684139,0.011966586251719665,0.02017059194388259,0.1879393120356248
4,0.25,0.0019462543416019235,0.005342755019990639,0.000606356636356559,0.4608335688308254,0.35574876022552937,0.4390382732345392,0.012913057424476983,0.016874663265642593,0.019633994502838193,0.18600168300603773
4,0.36,0.005317986084466102,0.013012775446526617,0.0007461951422411914,0.4608055782316232,0.42083642751792216,0.5219255148022195,0.016622266116758915,0.021686633719668266,0.01852832321509191,0.18454320340194577
5,0.01,1.5474327012593717e-07,5.695441689757583e-07,4.204311556607005e-05,0.46104796441609974,0.024221383962946846,0.03201197492544034,0.0007683631448724814,0.0008745900438303902,0.01726514015524931,0.18348729074612524
5,0.02,1.2236506123314817e-06,4.440036978715144e-06,7.999316773562983e-05,0.4610844765572081,0.04681724209525639,0.061859264993872946,0.0015158811240971802,0.0017239637884949074,0.017791904906141104,0.18235438851087896
5,0.04,9.569416911262748e-06,3.376551435124444e-05,0.00015856288993080126,0.46115607668176495,0.08774293084082262,0.11588478042454199,0.0029515628075004294,0.003351157781084568,0.018121652274744812,0.18547595480453463
5,0.07,4.9629951595431104e-05,0.00016813986918752093,0.0002578016638103581,0.46125816772579253,0.14030801404278004,0.18521432985731556,0.004967603521364602,0.005627024446755003,0.01797876203369835,0.18366679460353977
5,0.1,0.00014021519081495565,0.000456751535885983,0.00034782998791056365,0.46135348544804755,0.18454097790937082,0.24348733947406348,0.006834253149862389,0.007724800630863799,0.01615171661162202,0.19267977480318715
5,0.16,0.0005413487516949967,0.0016366997897756337,0.0004991797785593041,0.46151044226337096,0.2549283958626945,0.3359904441079528,0.010178672809240978,0.011460729312332657,0.018773706242558884,0.18344473873599557
5,0.25,0.0019052945917065478,0.005194773725063501,0.0006711313609907165,0.46172959680962,0.3308675010481489,0.43514719414630376,0.014398580051917017,0.01613355920710531,0.019030856798180118,0.1868980542492572
5,0.36,0.005212839596269809,0.01267256978679738,0.0008183262402995227,0.4619527149554768,0.39514592025226897,0.5180271987467812,0.018562772170265966,0.02070021623196389,0.02100807223622244,0.18905504428844963
6,0.01,1.5567446740910878e-07,5.853098837508337e-07,4.019181319174365e-05,0.4610539894648336,0.023230896848929893,0.032549496524928015,0.0007327922245119824,0.0008921138668893717,0.01955038482704035,0.18814700450137137
6,0.02,1.2309540259479823e-06,4.561905729172512e-06,7.619214604817422e-05,0.4610975951815552,0.044848230727918395,0.06284170484357744,0.0014455546773910171,0.0017589237626896852,0.02365869130119531,0.1850211582538926
6,0.04,9.625627558392034e-06,3.4677313442580756e-05,0.00014841493917899752,0.4611790555855556,0.08389459441309524,0.11754289477031624,0.002814064400174066,0.003420671150009675,0.025545681181209607,0.18194777396536074
6,0.07,4.991486968041038e-05,0.00017257737433016575,0.0002473279418954277,0.4612932945373346,0.13391459025633384,0.18751905479022282,0.004734824876654028,0.0057474026105523235,0.024838832420979402,0.18561952373885945
6,0.1,0.00014100280916318612,0.0004685527481357351,0.0003303692093383378,0.46139874763203503,0.17596861824073565,0.24617162756238287,0.0065122328232667115,0.00789468582484955,0.02216577573649396,0.18311805046024274
6,0.16,0.0005442692456116017,0.0016774142732982902,0.00047393600269783436,0.4615837833615769,0.2430025222569785,0.3390353164783331,0.009694215373295324,0.011725016057054225,0.018468647764862022,0.18393209470092864
6,0.25,0.001915035994616774,0.00531804648542538,0.000637861593960208,0.4618051163677007,0.31577363471973763,0.4383412327829707,0.013704295810220729,0.016527166944549587,0.02469768920077894,0.18575120900394249
6,0.36,0.0052380332350463795,0.01296009956008652,0.0007788293218232287,0.4620259472441645,0.37798922035198895,0.5212171245824313,0.017655840590010092,0.02123227945676284,0.02067129018418351,0.18604662962315113
