run,lag,bare,inverse_two_point,self_energy
5,5,0.0,1.1715705370720663e-09,1.1715705370720663e-09
5,6,0.0,1.5784237394839136e-10,1.5784237394839136e-10
5,7,0.0,2.612141976370079e-11,2.612141976370079e-11
5,8,0.0,4.27883278079763e-12,4.27883278079763e-12
5,9,0.0,7.768629754233051e-13,7.768629754233051e-13
5,10,0.0,1.285195487348521e-13,1.285195487348521e-13
5,11,0.0,2.1920994274714355e-14,2.1920994274714355e-14
5,12,0.0,3.679657220518324e-15,3.679657220518324e-15
5,13,0.0,6.693249848368303e-16,6.693249848368303e-16
5,14,0.0,3.2067515295685957e-16,3.2067515295685957e-16
5,15,0.0,2.855429272710857e-16,2.855429272710857e-16
5,16,0.0,2.895945135571519e-16,2.895945135571519e-16
5,17,0.0,2.815392716599181e-16,2.815392716599181e-16
5,18,0.0,2.8452122452850894e-16,2.8452122452850894e-16
5,19,0.0,2.8714874424702706e-16,2.8714874424702706e-16
5,20,0.0,2.811484305464068e-16,2.811484305464068e-16
5,21,0.0,2.7897225388708565e-16,2.7897225388708565e-16
5,22,0.0,2.94535108211378e-16,2.94535108211378e-16
5,23,0.0,2.8579091667270834e-16,2.8579091667270834e-16
5,24,0.0,2.7500582161378816e-16,2.7500582161378816e-16
5,25,0.0,2.867396408344035e-16,2.867396408344035e-16
5,26,0.0,2.794102632554355e-16,2.794102632554355e-16
5,27,0.0,2.7631950690818877e-16,2.7631950690818877e-16
5,28,0.0,2.6155128731449413e-16,2.6155128731449413e-16
5,29,0.0,2.024045250423364e-16,2.024045250423364e-16
5,30,0.0,1.334634392419069e-16,1.334634392419069e-16
6,0,1.0,1.0122256638607325,0.012324275321814382
6,1,0.2741357908767225,0.2760391249587175,0.0019066831546905214
6,2,0.0,3.914654120111003e-06,3.914654120111003e-06
6,3,0.0,1.181469850578753e-07,1.181469850578753e-07
6,4,0.0,8.359279882567012e-09,8.359279882567012e-09
6,5,0.0,9.909466005468463e-10,9.909466005468463e-10
6,6,0.0,1.4976300501536566e-10,1.4976300501536566e-10
6,7,0.0,2.62298730277721e-11,2.62298730277721e-11
6,8,0.0,4.154714192329746e-12,4.154714192329746e-12
6,9,0.0,6.925552080165734e-13,6.925552080165734e-13
6,10,0.0,1.1455719709183625e-13,1.1455719709183625e-13
6,11,0.0,1.915747882155057e-14,1.915747882155057e-14
6,12,0.0,3.4134943473542538e-15,3.4134943473542538e-15
6,13,0.0,7.221174741126208e-16,7.221174741126208e-16
6,14,0.0,3.117463664719729e-16,3.117463664719729e-16
6,15,0.0,2.9042630844764317e-16,2.9042630844764317e-16
6,16,0.0,2.874743100677425e-16,2.874743100677425e-16
6,17,0.0,3.006612129679021e-16,3.006612129679021e-16
6,18,0.0,2.8775439401372847e-16,2.8775439401372847e-16
6,19,0.0,2.9974758187696025e-16,2.9974758187696025e-16
6,20,0.0,2.963781918214739e-16,2.963781918214739e-16
6,21,0.0,2.9909869105615953e-16,2.9909869105615953e-16
6,22,0.0,2.8947042341918435e-16,2.8947042341918435e-16
6,23,0.0,2.9357224422047915e-16,2.9357224422047915e-16
6,24,0.0,2.9446861409286432e-16,2.9446861409286432e-16
6,25,0.0,2.8556384515238234e-16,2.8556384515238234e-16
6,26,0.0,2.709721482151866e-16,2.709721482151866e-16
6,27,0.0,2.611806003215884e-16,2.611806003215884e-16
6,28,0.0,2.610347596439388e-16,2.610347596439388e-16
6,29,0.0,2.284389906765974e-16,2.284389906765974e-16
6,30,0.0,1.3767923480630695e-16,1.3767923480630695e-16
7,0,1.0,1.0122165091360393,0.012316070162909087
7,1,0.27419290550879205,0.27609219600709506,0.001902972956097577
7,2,0.0,4.102464264995837e-06,4.102464264995837e-06
7,3,0.0,1.4183134480155016e-07,1.4183134480155016e-07
7,4,0.0,1.0367242889034732e-08,1.0367242889034732e-08
7,5,0.0,1.2217446386359607e-09,1.2217446386359607e-09
7,6,0.0,1.7523001891765108e-10,1.7523001891765108e-10
