run,range,h,sigma_norm,margin
7,5,5.342999856792849,0.587779799631352,4.755220057161497
7,6,5.342999856792849,0.5877797993062233,4.755220057486626
7,7,5.342999856792849,0.5877797993254973,4.755220057467351
7,8,5.342999856792849,0.5877797993231936,4.755220057469655
7,9,5.342999856792849,0.5877797993243752,4.755220057468474
7,10,5.342999856792849,0.5877797993243643,4.755220057468485
8,0,5.193226007267849,0.4502467527426406,4.742979254525208
8,1,5.193226007267849,0.5863312225225151,4.606894784745333
8,2,5.193226007267849,0.5857848863325159,4.6074411209353325
8,3,5.193226007267849,0.5857886749809882,4.60743733228686
8,4,5.193226007267849,0.5857885396520411,4.607437467615807
8,5,5.193226007267849,0.585788545520107,4.607437461747741
8,6,5.193226007267849,0.5857885479083096,4.607437459359539
8,7,5.193226007267849,0.5857885478702847,4.607437459397564
8,8,5.193226007267849,0.5857885478832925,4.607437459384556
8,9,5.193226007267849,0.5857885478821317,4.607437459385717
8,10,5.193226007267849,0.5857885478820888,4.60743745938576
9,0,5.224990025572054,0.4393813001186319,4.785608725453422
9,1,5.224990025572054,0.5855138751045061,4.639476150467548
9,2,5.224990025572054,0.5850884152673764,4.639901610304677
9,3,5.224990025572054,0.5850947663322045,4.639895259239849
9,4,5.224990025572054,0.5850945873491342,4.639895438222919
9,5,5.224990025572054,0.5850945964510916,4.639895429120962
9,6,5.224990025572054,0.5850945964558484,4.639895429116206
9,7,5.224990025572054,0.5850945965121825,4.639895429059871
9,8,5.224990025572054,0.5850945965087395,4.639895429063314
9,9,5.224990025572054,0.5850945965091063,4.639895429062948
9,10,5.224990025572054,0.5850945965091613,4.639895429062893
